"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 11 11:49:49 CST 2020","Mon May 11 11:49:56 CST 2020","7010","case","test_allocation","TestCase","","","test_api[case_data5]","
        :param case_data: 测试用例
        :return:
        "
"broken","Wed May 06 14:00:36 CST 2020","Wed May 06 14:00:36 CST 2020","28","case","test_purchase_order","TestCase","","","test_api[case_data8]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Mon May 11 11:50:55 CST 2020","Mon May 11 11:50:56 CST 2020","60","case","test_allocation","TestCase","","","test_api[case_data17]","
        :param case_data: 测试用例
        :return:
        "
"passed","Fri Apr 24 18:13:51 CST 2020","Fri Apr 24 18:13:52 CST 2020","1639","case","test_api","TestCase","","","test_api[case_data24]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:12:15 CST 2020","Fri Apr 24 18:12:16 CST 2020","506","case","test_api","TestCase","","","test_api[case_data10]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:13:49 CST 2020","Fri Apr 24 18:13:50 CST 2020","233","case","test_api","TestCase","","","test_api[case_data22]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:10:50 CST 2020","Fri Apr 24 18:11:14 CST 2020","24203","case","test_api","TestCase","","","test_api[case_data5]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:49:39 CST 2020","Mon May 11 11:49:42 CST 2020","3451","case","test_allocation","TestCase","","","test_api[case_data2]","
        :param case_data: 测试用例
        :return:
        "
"passed","Fri Apr 24 18:13:50 CST 2020","Fri Apr 24 18:13:51 CST 2020","955","case","test_api","TestCase","","","test_api[case_data23]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Wed May 06 14:00:36 CST 2020","Wed May 06 14:00:36 CST 2020","29","case","test_purchase_order","TestCase","","","test_api[case_data7]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:50:31 CST 2020","Mon May 11 11:50:35 CST 2020","4444","case","test_allocation","TestCase","","","test_api[case_data12]","
        :param case_data: 测试用例
        :return:
        "
"failed","Mon May 11 11:49:58 CST 2020","Mon May 11 11:50:12 CST 2020","13818","case","test_allocation","TestCase","","","test_api[case_data7]","
        :param case_data: 测试用例
        :return:
        "
"passed","Mon May 11 11:49:36 CST 2020","Mon May 11 11:49:39 CST 2020","3161","case","test_allocation","TestCase","","","test_api[case_data1]","
        :param case_data: 测试用例
        :return:
        "
"broken","Fri Apr 24 18:15:46 CST 2020","Fri Apr 24 18:15:46 CST 2020","22","case","test_sales_order","TestCase","","","test_api[case_data3]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Fri Apr 24 18:13:48 CST 2020","Fri Apr 24 18:13:49 CST 2020","1421","case","test_api","TestCase","","","test_api[case_data21]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:14:05 CST 2020","Fri Apr 24 18:14:23 CST 2020","17802","case","test_api","TestCase","","","test_api[case_data27]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Wed May 06 13:59:54 CST 2020","Wed May 06 14:00:11 CST 2020","17125","case","test_purchase_order","TestCase","","","test_api[case_data1]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Fri Apr 24 18:13:16 CST 2020","Fri Apr 24 18:13:17 CST 2020","1308","case","test_api","TestCase","","","test_api[case_data17]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:49:56 CST 2020","Mon May 11 11:49:58 CST 2020","1578","case","test_allocation","TestCase","","","test_api[case_data6]","
        :param case_data: 测试用例
        :return:
        "
"failed","Fri Apr 24 18:10:47 CST 2020","Fri Apr 24 18:10:50 CST 2020","2805","case","test_api","TestCase","","","test_api[case_data3]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:12:15 CST 2020","Fri Apr 24 18:12:15 CST 2020","385","case","test_api","TestCase","","","test_api[case_data9]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Wed May 06 14:00:36 CST 2020","Wed May 06 14:00:36 CST 2020","35","case","test_purchase_order","TestCase","","","test_api[case_data5]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Wed May 06 14:00:36 CST 2020","Wed May 06 14:00:36 CST 2020","27","case","test_purchase_order","TestCase","","","test_api[case_data9]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Wed May 06 14:00:36 CST 2020","Wed May 06 14:00:36 CST 2020","62","case","test_purchase_order","TestCase","","","test_api[case_data6]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Mon May 11 11:50:12 CST 2020","Mon May 11 11:50:15 CST 2020","3498","case","test_allocation","TestCase","","","test_api[case_data8]","
        :param case_data: 测试用例
        :return:
        "
"passed","Mon May 11 11:50:24 CST 2020","Mon May 11 11:50:30 CST 2020","5929","case","test_allocation","TestCase","","","test_api[case_data10]","
        :param case_data: 测试用例
        :return:
        "
